name,training_time,size,execution_time,10-off_precision,15-off_precision,20-off_precision
ir_beta_40,0.004057823999971788,19456,7.20589999900767e-05,1.0,1.0,1.0
mvr_beta_40,0.017175401000031343,352,0.00016687400000137131,1.0,1.0,1.0
lr_beta_41,0.00477664699997149,96,3.034100001286788e-05,0.4882075471698113,0.8113207547169812,0.9599056603773585
spline_beta_41,0.001288724000005459,30744,3.6661999956777436e-05,1.0,1.0,1.0
nnr_beta_41,0.000410611000006611,8736,0.0006945510000377908,1.0,1.0,1.0
ir_beta_41,0.003881342999989101,24016,7.534600001690706e-05,1.0,1.0,1.0
mvr_beta_41,0.016210817999990468,256,0.0001200979999680385,0.9976415094339622,1.0,1.0
lr_beta_42,0.0045860060000109115,96,3.1352000007700553e-05,0.9145077720207254,0.966321243523316,0.9818652849740933
spline_beta_42,0.0011683719999950881,28160,3.59040000148525e-05,1.0,1.0,1.0
nnr_beta_42,0.0003772360000198205,8280,0.0006771049999656498,1.0,1.0,1.0
ir_beta_42,0.003792342999986431,22192,7.180699998343698e-05,1.0,1.0,1.0
mvr_beta_42,0.018450724999979684,416,0.0001946859999861772,1.0,1.0,1.0
lr_beta_43,0.004625449999991815,96,3.034000002344328e-05,0.5871369294605809,0.8153526970954357,0.8858921161825726
spline_beta_43,0.0012884710000093946,34688,3.9442999991479155e-05,1.0,1.0,1.0
nnr_beta_43,0.0004480320000084248,9432,0.000715788999968936,1.0,1.0,1.0
ir_beta_43,0.0040980260000083035,26800,7.281799997826965e-05,1.0,1.0,1.0
mvr_beta_43,0.01914628700001231,352,0.0001744600000392893,1.0,1.0,1.0
